Time,TotalSitesBurned,TotalNumberEvents,empty,sw.slope,ne.slope,ridge,updrain,bottoms,gentleslope,sw.slope1,ne.slope1,ridge1,updrain1,bottoms1,gentleslope1,sw.slope2,ne.slope2,ridge2,updrain2,bottoms2,gentleslope2
5,395,85,0,2,1,0,0,0,0,116,102,80,13,63,18,0,0,0,0,0,0
10,11,85,0,0,0,0,0,0,0,2,0,1,0,5,3,0,0,0,0,0,0
