Time,InitRow,InitColumn,TotalSites,DamagedSites,CohortsKilled,MeanSeverity,
10, 135, 79, 0, 0, 0, 0, 
10, 136, 155, 14, 0, 0, 0, 
10, 136, 199, 3, 0, 0, 0, 
10, 145, 67, 6, 0, 0, 0, 
10, 160, 159, 12, 0, 0, 0, 
10, 164, 103, 1, 0, 0, 0, 
10, 165, 96, 17, 0, 0, 0, 
10, 166, 75, 5, 0, 0, 0, 
10, 168, 92, 5, 0, 0, 0, 
10, 168, 96, 4, 0, 0, 0, 
10, 168, 133, 55, 0, 0, 0, 
10, 168, 178, 45, 0, 0, 0, 
10, 178, 83, 1, 0, 0, 0, 
10, 180, 70, 6, 0, 0, 0, 
10, 181, 179, 7, 0, 0, 0, 
10, 182, 37, 18, 0, 0, 0, 
10, 183, 170, 38, 0, 0, 0, 
10, 184, 179, 52, 0, 0, 0, 
10, 185, 111, 9, 0, 0, 0, 
10, 186, 182, 20, 0, 0, 0, 
10, 193, 141, 54, 0, 0, 0, 
